"Name","Manufacturing Industry related","Abbreviation","Short description","Latest version","Latest activity found","Project page or publication","Ontology URI","RDF/XML file","Turtle file","Download location","Authors/creators","License"
"OPC UA Ontology-Design-Pattern","yes","Information not available","This ontology is based on OpcUaNodeset-Ontology (from fortiss),just a couple of things were edited because authors are using this ontology in an execution environment.","2.0.0","2023-05-12","https://github.com/hsu-aut/IndustrialStandard-ODP-OPC-UA","http://www.w3id.org/hsu-aut/OpcUa","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-OPC-UA/master/OpcUa.owl","","","Aljosha Köcher,Janni Kreisberg","MIT"
"OpenADR ontology","yes","Information not available","This ontology describes the openADR protocol based on the documentation provided by the openADR Profile B.","0.2.2","2020-11-17","https://albaizq.github.io/OpenADRontology/OnToology/ontology/openADRontology.owl/documentation/index-en.html","https://w3id.org/def/openadr","","https://albaizq.github.io/OpenADRontology/OnToology/ontology/openADRontology.owl/documentation/ontology.ttl","","Raúl García-Castro,Alba Fernández Izquierdo,Andrea Cimmino","CC-BY 4.0"
"OpenLink Product Features Ontology","yes","Information not available","Ontology that defines entity and relation types used to describe product features.","1.0.0","2019-08-06","http://www.openlinksw.com/ontology/features#","http://www.openlinksw.com/ontology/features#","","https://www.openlinksw.com/sparql?query=define%20sql%3Adescribe-mode%20%22CBD%22%20%20DESCRIBE%20%3Chttp%3A%2F%2Fwww.openlinksw.com%2Fontology%2Ffeatures%23%3E","","OpenLink Software","Information not available"
"Open Energy Ontology","yes","OEO","The Open Energy Ontology is an ontology for all aspects of the energy modelling domain.","2.1.0","2023-12-05","https://openenergy-platform.org/ontology/","http://openenergy-platform.org/ontology/oeo/","https://openenergy-platform.org/ontology/oeo/releases/oeo-full.owl","","","Lukas Emele,Mirjam Stappel,Anna Kleinau,Janna Hastings,Vera Sehn,Hannah Förster,Patrick Kuckertz,Carsten Hoyer-Klick,Christian Hofmann,Kevin Knosala,Ludwig Hülk,Izzet Kilicarslan,Franziska Drathschmidt,Simon Flügel,Ulrich Frey,Christoph Muschner,Christian Winger,Fabian Neuhaus,Lara Christmann,Martin Glauer,Pierre-Francois Duc,Sebastian Cordes,Michaja Pehl,Kai Schnepf,Till Mossakowski,Alexander Stage,Hedda Gardian,Eugenio Salvador Arellano Ruiz,Markus Rothkötter,Linda Rülicke,Alexandra Seibicke,Ludwig Mittermeier,Ulf Müller,Nele Köhler,Hannah Spinde,Viktor Wichern","CC0 1.0 DEED"
"PackML StateMachine Ontology-Design-Pattern","yes","Information not available","Its an ontology design pattern of PackML which is a common standard defining an abstract machine behavior.","3.0.0","2023-11-28","https://github.com/hsu-aut/IndustrialStandard-ODP-PackML","http://www.w3id.org/hsu-aut/PackML","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-PackML/master/PackML.owl","","","Aljosha Köcher,Janni Kreisberg,Tom Westermann (via Git commits, might be incomplete)","MIT"
"Paper Vocabulary","yes","Information not available","Vocabulary to describe various types of paper products (office paper, photo paper, etc.).","Information not available","Information not available","https://ebusiness-unibw.org/ontologies/opdm/paper.html","http://purl.org/opdm/paper#","http://purl.org/opdm/paper#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"PCA 'Part 14' upper ontology","yes","Information not available","The POSC Caesar Association (PCA) 'Part 14' upper ontology is an OWL 2 DL rendering of the ISO 15926-2 data model. ISO 15926-2 specifies a conceptual data model for computer representation of technical information about process plants.","1.0","2022-04-01","https://rds.posccaesar.org/ontology/lis14/ont/core/","http://rds.posccaesar.org/ontology/lis14/ont/core","https://rds.posccaesar.org/ontology/lis14/ont/core/1.0/LIS-14.rdf","https://rds.posccaesar.org/ontology/lis14/ont/core/1.0/LIS-14.ttl","","Johan Wilhelm Klüwer","CC-BY-SA 4.0"
"Platform Ontology","yes","Information not available","The COGITO Platfrom ontology aims at modelling the entities considered in the the Digital Twin Platform, a component of the COGITO architecture.","0.4.0","2023-02-09","https://github.com/oeg-upm/cogito-platform-ontology","https://cogito.iot.linkeddata.es/platform#","https://cogito.iot.linkeddata.es/def/platform/ontology.rdf","https://cogito.iot.linkeddata.es/def/platform/ontology.ttl","","María Poveda Villalón,Raúl García Castro,Socorro Bernardos Galindo","CC-BY 4.0"
"Portable Media Player Vocabulary","yes","Information not available","Vocabulary to describe portable media players.","1.0","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/portablemp.html","http://purl.org/opdm/portablemp#","http://purl.org/opdm/portablemp#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Position Ontology","yes","POS","It extends SUMO and complements CORA and was developed for capturing the main concepts and relations underlying the notions of position, orientation and pose.","1.0","2020-10-21","https://github.com/srfiorini/IEEE1872-owl","http://purl.org/ieee1872-owl/pos","https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/pos.owl","","","IEEE RAS Ontology for Robotics and Automation Working Group (IEEE RAS ORA WG)","CC-BY 4.0"
"Printer Vocabulary","yes","Information not available","Vocabulary to describe home and office printers including all-in-one devices with faxing, scanning and copying capabilities.","Information not available","Information not available","https://ebusiness-unibw.org/ontologies/opdm/printer.html","http://purl.org/opdm/printer#","http://purl.org/opdm/printer#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"process","yes","Information not available","Process ontology for Product Lifecycle Management RDL. Includes unit operations, reaction, transport.","0.9.1","2022-09-26","https://rds.posccaesar.org/ontology/plm/ont/process/","http://rds.posccaesar.org/ontology/plm/ont/process","https://rds.posccaesar.org/ontology/plm/ont/process/0.9.0/plm-process.rdf","https://rds.posccaesar.org/ontology/plm/ont/process/0.9.0/plm-process.ttl","","Johan Wilhelm Klüwer","CC-BY-SA 4.0"
"Process Ontology","yes","Information not available","The COGITO Process ontology aims at modelling the construction process.","0.11.0","2023-03-28","https://github.com/oeg-upm/cogito-construction-process-ontology","https://cogito.iot.linkeddata.es/def/process#","","https://raw.githubusercontent.com/oeg-upm/cogito-construction-process-ontology/master/ontology/ontology.ttl","","María Poveda Villalón,Raúl García Castro,Socorro Bernardos Galindo","CC-BY 4.0"
"Product Ontology","yes","PRONTO","PRONTO (PRoduct ONTOlogy) is an ontology for the Product Modelling domain, able to efficiently handle product variants, which defines and integrates two hierarchies to represent product information: the Abstraction Hierarchy (AH) and the Structural one (SH).","Information not available","2021-04-20","https://github.com/mvegetti/PRONTO/","http://www.semanticweb.org/ontologies/2010/1/ProntoAHSH.owl","https://raw.githubusercontent.com/mvegetti/PRONTO/main/PRONTO.owl","","","Marcela Vegetti and contributors (https://github.com/mvegetti/PRONTO/graphs/contributors)","Information not available"
"Product Types Ontology","yes","Information not available","This service provides ca. 300, 000 precise definitions for types of product or services that extend the schema.org and GoodRelations standards for e-commerce markup. NOTE: in the related RDF file only the 1000 most frequently request classes of the related service!.","Information not available","2024-03-14","http://www.productontology.org/","http://www.productontology.org/#","http://www.productontology.org/dump.rdf","","","Martin Hepp","CC-BY-SA 3.0"
"Product Vocabulary","yes","ProVoc","ProVoc (Product Vocabulary) is a vocabulary that can be used to represent information and manipulate them through the Web.","1.0","2016-01-01","https://ns.inria.fr/provoc/v1/provoc_v1.html","http://ns.inria.fr/provoc","https://ns.inria.fr/provoc/v1/provoc_v1.rdf","https://ns.inria.fr/provoc/v1/provoc_v1.ttl","","Elena Cabrio,Fabien Gandon,Cedric Lopez,Frederique Segond","CC-BY 3.0"
"PSS Ontology","yes","Information not available","The Product Service System (PSS) working group (WG) under Industrial Ontology Foundry aims to create a basis ontology for enhancing the engineering of PSS in manufacturing, by modelling all the aspects that affect, or could affect a PSS.","0.2","2022-05-10","https://industryportal.enit.fr/ontologies/PSS","https://gitlab.atb-bremen.de/atb/pss-ontology/PSS-ontology-2","https://data.industryportal.enit.fr/ontologies/PSS/submissions/2/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","PSS working group","CC-BY 4.0"
"RealEstateCore Full","yes","REC","Its an OWL 2 ontology which enables data integration for smart buildings.","3.3","2020-06-23","https://github.com/RealEstateCore/rec","https://w3id.org/rec/full/","https://doc.realestatecore.io/3.3/full.rdf","","","Erik Wallin,Karl Hammar","BSD-3-Clause"
"Reference Generalized Ontological Model","yes","RGOM","Reference Generalized Ontological Model is a Smart Manufacturing ontology that provides a detailed unified model which takes the I4.0 domain knowledge from rawmaterial to finished product including supply to the customeras well as monitoring the different situations of machines and processes.","Information not available","2024-01-23","https://github.com/MuhammadYahta/rgom","http://www.semanticweb.org/manufacturingproductionline#","https://raw.githubusercontent.com/MuhammadYahta/rgom/main/rgom.owl","","","MuhammadYahta and contributors (https://github.com/MuhammadYahta/rgom/graphs/contributors)","GPL-3.0"
"Reified Requirements Ontology","yes","Information not available","The Reified Requirements Ontology provides classes and relations for representing requirements as OWL individuals.","A01A","2019-11-19","https://data.dnv.com/ontology/requirement-ontology/core/req-ont.html","https://w3id.org/requirement-ontology/ontology/core#","https://data.dnv.com/ontology/requirement-ontology/core/req-ont.owl","https://data.dnv.com/ontology/requirement-ontology/core/req-ont.ttl","","Johan Wilhelm Klüwer","CC-BY-SA 4.0"
"Resistance Spot Welding Ontology","yes","RSWO","We propose Resistance Spot Welding Ontology (RSWO) to formalize knowledge in the RSW domain. It combines three sources of knowledge: extensive discussions with Bosch welding experts; reusing terminologies following ISO-14327 and ISO-14373 standards; and existing established ontologies. We have assessed RSWO on real-world data from monitoring welding quality at Bosch in Germany.","1.0.0","2023-02-01","https://github.com/nsai-uio/RSWO","http://www.rswo.org/muhyah/ontologies/2022/7/rswo","https://raw.githubusercontent.com/nsai-uio/RSWO/main/rswo.owl","","","Muhammad Yahya","CC-BY 4.0"
"RESPOND Ontology","yes","RESPOND","The RESPOND project aims to deploy an interoperable energy automation, monitoring and control solution to deliver DR programs at a dwelling, building and district level.","1.0","2020-04-14","https://respond-project.github.io/RESPOND-Ontology/respond/index-en.html","https://w3id.org/respond#","https://respond-project.github.io/RESPOND-Ontology/respond/ontology/ontology.xml","https://respond-project.github.io/RESPOND-Ontology/respond/ontology/ontology.ttl","","Iker Esnaola-Gonzalez,Francisco Javier Díez","CC-BY 4.0"
"RFID System Configuration Ontology","yes","Information not available","Its purpose is to aid the identification and configuration of the right RFID system, reader or tag based on the requirements of the end-user, who can be either an RFID expert or a non-expert.","Information not available","2019-12-09","https://github.com/eleniTsalapati/ONTOLOGIES","http://semanticweb.org/ontologies/2018/16/RFID_SystemConfigurationOntology/","https://raw.githubusercontent.com/eleniTsalapati/ONTOLOGIES/master/RFID_SCO.owl","","","Eleni Tsalapati,James Tribe,Paul A. Goodall,Robert I. Young,Thomas W. Jackson,Andrew A. West","Information not available"
"RIVA InfoModel","yes","Information not available","An information model for autonomous mobile robots.","Information not available","2023-11-24","https://github.com/hsu-aut/RIVA_InfoModel","http://w3id.org/hsu-aut/SA_InformationModel/","","https://raw.githubusercontent.com/hsu-aut/RIVA_InfoModel/main/Ontologies/InfoModel.ttl","","Marvin Zager,Christoph Sieber,Alexander Fay","MIT"
"Resource, Material, Process, Function and Quality (rmpfq) ontology","yes","RMPFQ","This is a domain-level ontology focusing on the quality related factors during manufacturing processes. It is based on the IOF:Core middle-level ontology and the BFO top-level ontology.","Information not available","2022-03-09","https://github.com/zhengxiaochen/rmpfq_ontology","urn:webprotege:ontology:9a45bb51-8473-4cc3-af08-57a784d84a45","","https://raw.githubusercontent.com/zhengxiaochen/rmpfq_ontology/main/RMPFQ_Application_Ontology_v1.ttl","","Xiaochen Zheng","Information not available"
"ROMAIN: Reference Ontology for industrial Maintenance","yes","ROMAIN","ROMAIN is domain-specific, open access, reference ontology for maintenance management domain, with the scope to the classes that are unique to the maintenance management practice, such as maintenance strategy, degradation, and work order management, rather than modelling the entire domain of maintenance.","Information not available","2019-04-01","https://industryportal.enit.fr/ontologies/ROMAIN","http://www.semanticweb.org/hedi/ontologies/2018/11/ROMAIN","https://data.industryportal.enit.fr/ontologies/ROMAIN/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Farhad Ameri,Farhad Ameri,Melinda Hodkiewicz,Thierry Louge","Information not available"
"RPARTS","yes","RPARTS","It was developed to provide concepts for CORA ontology to model robotic parts.","1.0","2020-10-21","https://github.com/srfiorini/IEEE1872-owl","http://purl.org/ieee1872-owl/rparts","https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/rparts.owl","","","IEEE RAS Ontology for Robotics and Automation Working Group (IEEE RAS ORA WG)","CC-BY 4.0"
"Safety Ontology","yes","Information not available","This is an ontology for extracting the safety knowledge in industry 4.0.","Information not available","2016-07-26","https://github.com/mahsa-teimourikia/Safety-Ontology","http://www.semanticweb.org/mahsateimourikia/ontologies/2016/1/untitled-ontology-3#","https://raw.githubusercontent.com/mahsa-teimourikia/Safety-Ontology/master/SafetyOntology.owl","","","Mahsa Teimourikia,Mariagrazia Fugini","GPL-3.0"
"Safety Ontology","yes","Information not available","The COGITO Safety ontology aims at modelling the safety of the construction domain.","0.6.0","2023-05-16","https://github.com/oeg-upm/cogito-safety-ontology","https://cogito.iot.linkeddata.es/safety#","","https://raw.githubusercontent.com/oeg-upm/cogito-safety-ontology/main/ontology/ontology.ttl","","María Poveda Villalón,Raúl García Castro,Socorro Bernardos Galindo","CC-BY 4.0"
"SAREF Ontology","yes","SAREF","The Smart Applications REFerence ontology (SAREF) is intended to enable interoperability between solutions from different providers and among various activity sectors in the Internet of Things (IoT),thus contributing to the development of the global digital market.","3.2.1","2020-12-31","https://saref.etsi.org/core/","https://saref.etsi.org/core/","https://saref.etsi.org/core/v3.2.1/saref.rdf","https://saref.etsi.org/core/v3.2.1/saref.ttl","","Maxime Lefrançois,Raúl García-Castro,Cornelis Bouter,Laura Daniele","BSD-3-Clause"
"SAREF extension for the Automotive domain","yes","SAREF4AUTO","SAREF4AUTO is an extension of SAREF to connect it with existing ontologies (e.g. W3C SSN, W3C SOSA, GeoSPARQL etc.) and important standardization initiatives and ontologies in the Automotive domain.","1.1.1","2021-07-26","https://saref.etsi.org/saref4auto/","https://saref.etsi.org/saref4auto/","https://saref.etsi.org/saref4auto/v1.1.1/saref4auto.rdf","https://saref.etsi.org/saref4auto/v1.1.1/saref4auto.ttl","","Laura Daniele,Michelle Wetterwald","BSD-3-Clause"
"SAREF extension for building","yes","SAREF4BLDG","SAREF4BLDG is an extension of the SAREF ontology that was created based on the Industry Foundation Classes (IFC) standard for building information.","1.1.2","2020-06-05","https://saref.etsi.org/saref4bldg/","https://saref.etsi.org/saref4bldg/","https://saref.etsi.org/saref4bldg/v1.1.2/saref4bldg.rdf","https://saref.etsi.org/saref4bldg/v1.1.2/saref4bldg.ttl","","María Poveda-Villalón,Raúl Garcia-Castro","BSD-3-Clause"
"SAREF extension for the Energy domain","yes","SAREF4ENER","SAREF4ENER is an extension of SAREF for the Energy domain and focuses on demand response scenarios, in which customers can offer flexibility to the Smart Grid to manage their smart home devices by means of a Customer Energy Manager (CEM).","1.1.2","2016-06-04","https://saref.etsi.org/saref4ener/","https://saref.etsi.org/saref4ener/","https://saref.etsi.org/saref4ener/v1.1.2/saref4ener.rdf","https://saref.etsi.org/saref4ener/v1.1.2/saref4ener.ttl","","Laura Daniele","BSD-3-Clause"
"SAREF extension for the electric grid domain","yes","SAREF4GRID","SAREF4GRID is an extension of SAREF for the smart grid domain.","1.1.1","2023-11-22","https://saref.etsi.org/saref4grid/","https://saref.etsi.org/saref4grid/","https://saref.etsi.org/saref4grid/v1.1.1/saref4grid.rdf","https://saref.etsi.org/saref4grid/v1.1.1/saref4grid.ttl","","Raúl García-Castro,Sergio-Mario Carulli-Pérez,María Poveda-Villalón","BSD-3-Clause"
"SAREF extension for the industry and manufacturing domain","yes","SAREF4INMA","SAREF4INMA is an extension of SAREF for the industry and manufacturing domain to solve the lack of interoperability between various types of production equipment that produce items in a factory and, once outside the factory, between different organizations in the value chain to uniquely track back the produced items to the corresponding production equipment, batches, material and precise time in which they were manufactured.","1.1.2","2019-04-30","https://saref.etsi.org/saref4inma/","https://saref.etsi.org/saref4inma/","https://saref.etsi.org/saref4inma/v1.1.2/saref4inma.rdf","https://saref.etsi.org/saref4inma/v1.1.2/saref4inma.ttl","","Laura Daniele,Alba Fernandez Izquierdo,Raúl Garcia-Castro,Mike de Roode","BSD-3-Clause"
"SAREF extension for the smart lifts domain","yes","SAREF4LIFT","SAREF4LIFT is an extension of SAREF for the Smart Lifts domain.","1.1.1","2021-03-15","https://saref.etsi.org/saref4lift/","https://saref.etsi.org/saref4lift/","https://saref.etsi.org/saref4lift/v1.1.1/saref4lift.rdf","https://saref.etsi.org/saref4lift/v1.1.1/saref4lift.ttl","","Maxime Lefrançois,Mauro Dragoni,Alba Fernandez Izquierdo,Raúl Garcia-Castro","BSD-3-Clause"
"SAREF4SYST: an extension of SAREF for typology of systems and their inter-connections","yes","SAREF4SYST","The present document specifies a new reference ontology pattern for the SAREF semantic model and it also defines how this pattern may be instantiated for the verticals, and point to examples for the Smart Energy and the Smart Building domains.","1.1.2","2020-06-14","https://saref.etsi.org/saref4syst/","https://saref.etsi.org/saref4syst/","https://saref.etsi.org/saref4syst/v1.1.2/saref4syst.rdf","https://saref.etsi.org/saref4syst/v1.1.2/saref4syst.ttl","","Maxime Lefrançois","BSD-3-Clause"
"SAREF4WATR is an extension of SAREF for Water","yes","SAREF4WATR","This ontology extends the SAREF ontology for the Water domain.","v0.1.2","2019-11-29","https://github.com/oeg-upm/S4WATR","https://w3id.org/def/S4WATR","","https://oeg-upm.github.io/S4WATR/OnToology/S4Water.owl/documentation/ontology.ttl","","Raúl García-Castro","Custom license"
"SCOPRO (Supply Chain Process Ontology)","yes","SCOPRO","SCOPRO (Supply Chain Process Ontology) is a subontology of SCONTO (Supply Chain Ontology), which is an ontology that formally describes a supply chain (SC) based on the SCOR de facto standard. SCOPRO formalizes the SC essential concepts, capturing the organizational units participating in a supply chain, its structure, and business processes. It represents the SC business processes at various abstraction levels and their associated resources in a holistic fashion.","1.0.0","2021-12-01","https://openreview.net/pdf?id=ricE3prhfH8","http://www.semanticweb.org/indonto/ontologies/2014/0/SCOPRO","https://data.industryportal.enit.fr/ontologies/SCOPRO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Gabriela P. Henning,Horacio P. Leone,Marcela Vegetti,Alicia C. Böhm","CC-BY 4.0"
"SCORVoc","yes","SCORVoc","A vocabulary which represents the Supply Chain Operations Reference (SCOR) standard.","Information not available","2018-01-12","https://github.com/vocol/scor","http://purl.org/eis/vocab/scor#","","https://raw.githubusercontent.com/vocol/scor/master/scor.ttl","","Irlán Grangel-González,Niklas Petersen,Sebastian Tramp","PDDL 1.0"
"SEAS Architecture ontology","yes","Information not available","The SEAS Architecture Ontology models the concepts from the SRAM (Static random-access memory) Architecture model.","2.0","2016-09-26","https://ci.mines-stetienne.fr/seas/ArchitectureOntology","https://w3id.org/seas/ArchitectureOntology","https://w3id.org/seas/ArchitectureOntology-2.0.rdf","https://w3id.org/seas/ArchitectureOntology-2.0.ttl","","Maxime Lefrançois","Apache License 2.0"
"SEAS Building Ontology","yes","Information not available","The SEAS Building ontology describes a taxonomy of buildings, building spaces, and rooms.","1.0","2016-09-26","https://ci.mines-stetienne.fr/seas/BuildingOntology","https://w3id.org/seas/BuildingOntology","https://w3id.org/seas/BuildingOntology-1.0.rdf","https://w3id.org/seas/BuildingOntology-1.0.ttl","","Maxime Lefrançois,Jarmo Kalaoja","Apache License 2.0"
"SEAS Device ontology","yes","Information not available","The SEAS Device ontology defines `seas:Device` as physical system that are designed to execute one or more procedures that involve the physical world.","1.1","2016-09-26","https://ci.mines-stetienne.fr/seas/DeviceOntology","https://w3id.org/seas/DeviceOntology","https://w3id.org/seas/DeviceOntology-1.1.rdf","https://w3id.org/seas/DeviceOntology-1.1.ttl","","Maxime Lefrançois","Apache License 2.0"
"SEAS Electric Light Source Ontology","yes","Information not available","The SEAS Electric Light source ontology describes Electric light sources.","1.0","2017-08-23","https://ci.mines-stetienne.fr/seas/ElectricLightSourceOntology","https://w3id.org/seas/ElectricLightSourceOntology","","https://w3id.org/seas/ElectricLightSourceOntology-1.0","","Lynda Temal","Apache License 2.0"
"SEAS Electric Power System Ontology","yes","Information not available","The SEAS Electric Power System Vocabulary defines: Electric power systems that consume, produce, or store electricity, electrical connections between electric power systems, where electricity is exchanged, and electrical connection. Points of electric power systems, through which electricity flows in/out the power systems.","1.0","2017-08-24","https://ci.mines-stetienne.fr/seas/ElectricPowerSystemOntology","https://w3id.org/seas/ElectricPowerSystemOntology","https://w3id.org/seas/ElectricPowerSystemOntology-1.0.rdf","https://w3id.org/seas/ElectricPowerSystemOntology-1.0.ttl","","Maxime Lefrançois","Apache License 2.0"
"SEAS Electric Street Light System Ontology","yes","Information not available","The SEAS Electric Street Light System ontology describes Electric Street Light Systems.","1.0","2017-05-30","https://ci.mines-stetienne.fr/seas/StreetLightSystemOntology","https://w3id.org/seas/StreetLightSystemOntology","https://w3id.org/seas/StreetLightSystemOntology-1.0.rdf","https://w3id.org/seas/StreetLightSystemOntology-1.0.ttl","","Lynda Temal","Apache License 2.0"
"SEAS Electric Vehicle ontology","yes","Information not available","The SEAS Electric Vehicle Vocabulary defines features of interest for electric vehicles and their charging equipments.","1.0","2016-07-26","https://ci.mines-stetienne.fr/seas/ElectricVehicleOntology","https://w3id.org/seas/ElectricVehicleOntology","https://w3id.org/seas/ElectricVehicleOntology-1.0.rdf","https://w3id.org/seas/ElectricVehicleOntology-1.0.ttl","","Maxime Lefrançois","Apache License 2.0"
"SEAS Photovoltaic ontology","yes","Information not available","The SEAS PhotovoltaicOntology Ontology describes solar panels and its components as electric power systems.","1.1","2016-11-03","https://ci.mines-stetienne.fr/seas/PhotovoltaicOntology","https://w3id.org/seas/PhotovoltaicOntology","https://w3id.org/seas/PhotovoltaicOntology-1.0.rdf","https://w3id.org/seas/PhotovoltaicOntology-1.0.ttl","","Maxime Lefrançois","Apache License 2.0"
"SEAS Smart Meter ontology","yes","Information not available","The SEAS Smart Meter ontology defines seas:SmartMeter as physical system (seas:Sensor) that are designed to Compute Metering on different amount of matter, such as Natural Gas, Water and Electricity. Smart Meters are connected systems which are able to send metering evaluation to some managing systems.","1.1","2017-08-29","https://ci.mines-stetienne.fr/seas/SmartMeterOntology","https://w3id.org/seas/SmartMeterOntology","https://w3id.org/seas/SmartMeterOntology-1.1.rdf","https://w3id.org/seas/SmartMeterOntology-1.1.ttl","","Lynda Temal","Apache License 2.0"
"SEAS Thermodynamic System ontology","yes","Information not available","The SEAS Thermodynamic System ontology defines systems that may exchange heat.","1.0","2016-07-21","https://ci.mines-stetienne.fr/seas/ThermodynamicSystemOntology","https://w3id.org/seas/ThermodynamicSystemOntology","https://w3id.org/seas/ThermodynamicSystemOntology-1.0.rdf","https://w3id.org/seas/ThermodynamicSystemOntology-1.0.ttl","","Maxime Lefrançois","Apache License 2.0"
"Semantic Sensor Network Ontology","yes","SSN","It is an ontology for describing sensors and their observations, the involved procedures, the studied features of interest, the samples used to do so and the observed properties as well as actuators.","Information not available","2017-04-17","https://www.w3.org/TR/vocab-ssn/","http://www.w3.org/ns/ssn/","","https://raw.githubusercontent.com/w3c/sdw/gh-pages/ssn/ssn_separated/ssn.ttl","","W3C Spatial Data on the Web Working Group","W3C Document License (2023)"
"Semantically Integrated Planning Model","yes","SIMPM","An ontology providing semantics for capturing the knowledge of manufacturing process planning.","1.0","2021-12-11","https://industryportal.enit.fr/ontologies/SIMPM","Information not available","https://data.industryportal.enit.fr/ontologies/SIMPM/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942&download_format=rdf","","","Arkopaul Sarkar,Dusan Sormaz","Information not available"
"Sensor Data ontology","yes","SD","The Sensor Data ontology has been developed to represent measurements generated by sensors located inside building spaces.","0.0.3","2020-02-01","https://bimerr.iot.linkeddata.es/def/sensor-data/","http://bimerr.iot.linkeddata.es/def/sensor-data#","","https://bimerr.iot.linkeddata.es/def/sensor-data/ontology.ttl","","Serge Chávez Feria,María Poveda Villalón","CC-BY 4.0"
"Sensor, Observation, Sample and Actuator","yes","SOSA","It provides a formal and general-purpose specification for modelling the interaction between the entities involved in the acts of observation, actuation and sampling.","Information not available","2018-08-10","https://www.w3.org/TR/vocab-ssn/","http://www.w3.org/ns/sosa/","https://www.w3.org/ns/sosa/#","https://www.w3.org/ns/sosa/#","","W3C/OGC Spatial Data on the Web Working Group","W3C Document License (2023)"
"Sharework Ontology for Human-Robot Collaboration","yes","SOHO","The SOHO ontology describes Human-Robot Collaboration Scenarios in Manufacturing. It pursues a context-based approach characterizing knowledge from different synergetic perspectives: (i) Environment context; (ii) Behavior context; (iii) Production context. The combination of these contexts supports a contextual and flexible interpretation of environment states, skills of cobots and workers and, production events.","1.0.0","Information not available","https://industryportal.enit.fr/ontologies/SOHO","http://pst.istc.cnr.it/ontologies/2019/01/soho","https://data.industryportal.enit.fr/ontologies/SOHO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Alessandro Umbrico,Andrea Orlandini,Amedeo Cesta","Apache License 2.0"
"Shaver Vocabulary","yes","Information not available","Vocabulary to describe shavers, epilators.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/shaver.html","http://purl.org/opdm/shaver#","http://purl.org/opdm/shaver#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Shoe Vocabulary","yes","Information not available","Vocabulary to represent the product type Shoe in the context of the OPDM project: (1) Fashion & Accessories Shoes. Defined by shoes for men, ladies and kids for all occasions. (2) Leisure & Sporting Goods Sport shoes. Implies all kind of sport shoes like trainers, running shoes, flip flops, skate shoes, football and hiking boots.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/shoe.html","http://purl.org/opdm/shoe#","http://purl.org/opdm/shoe#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Shredder Vocabulary","yes","Information not available","Vocabulary to represent various types of shredder devices.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/shredder.html","http://purl.org/opdm/shredder#","http://purl.org/opdm/shredder#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"SmartHomeWeather","yes","SHW","A ontology defining weather-related concepts and properties being relevant to smart home systems that provide predictive control.","1.0","Information not available","https://paul.staroch.name/en/","http://paul.staroch.name/thesis/SmartHomeWeather.owl#","https://paul.staroch.name/thesis/SmartHomeWeather.owl","","","Paul Staroch","Information not available"
"SmartProducts EADS","yes","Information not available","Defines concepts and properties specific for the EADS use case (aircraft assembly).","2.6","2012-04-26","https://projects.kmi.open.ac.uk/smartproducts/ontology.html","http://kmi.open.ac.uk/projects/smartproducts/ontologies/eads.owl","http://kmi.open.ac.uk/projects/smartproducts/ontologies/eads.owl","","","SmartProducts Network of Ontologies","Information not available"
"SmartProducts Generic model","yes","Information not available","Specifically describes spatial context.","2.6","2012-05-03","https://projects.kmi.open.ac.uk/smartproducts/ontology.html","http://kmi.open.ac.uk/projects/smartproducts/ontologies/generic.owl","http://kmi.open.ac.uk/projects/smartproducts/ontologies/generic.owl","","","SmartProducts Network of Ontologies","Information not available"
"SmartProducts Product model","yes","Information not available","Contains scenario-independent concepts and properties related to products and their parts.","2.6","2012-04-25","https://projects.kmi.open.ac.uk/smartproducts/ontology.html","http://kmi.open.ac.uk/projects/smartproducts/ontologies/product.owl","http://kmi.open.ac.uk/projects/smartproducts/ontologies/product.owl","","","SmartProducts Network of Ontologies","Information not available"
